study_folder,file_name,file_path,file_type,variable_name,variable_group,data_group
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,appearance_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_cottage_cheese,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_apple,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_hed_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,odor_snickers,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_turkey,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_chips,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_cookie,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_led_salad,questionnaire,Questionnaire data
1990_eatdis_salad_preload,assay-intake_cond-highcal_data.csv,"C:/Users/kmill/The Pennsylvania State University/Rolls, Barbara Jean - currated_data/1990_eatdis_salad_preload/data/assay-intake_cond-highcal_data.csv",intake,texture_cottage_cheese,questionnaire,Questionnaire data
